gene	Groups	New annotation -initial data	category	biological_process	cellular_component	molecular_function	rankEpith	rankFibers	rankwhole	tissue	ranktissue
Prpf31	Splicing	splicing	splicing	spliceosomal tri-snRNP complex assembly  (pubmed id: 11867543), via spliceosome  (pubmed id: 21873635; 11867543)	Cajal body  (pubmed id: 11867543), nuclear speck  (pubmed id: 11867543), U4 snRNP  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 11867543)	ribonucleoprotein complex binding  (pubmed id: 11867543)	1709	3286	1581	epi	1709
Trir	Telomerase	telomerase RNA component interacting protein	telomerase	exonucleolytic  (pubmed id: 21873635)	NA	3'-5' exonuclease activity  (pubmed id: 21873635), 5'-3' exonuclease activity  (pubmed id: 21873635)	1711	2616	2148	epi	1711
Srsf9	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635; 21873635)	nuclear speck  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635)	1721	4138	3208	epi	1721
Xpo5	dsRNA pathway, nuclear export	transport of small RNAs and dsRNA-binding proteins	ncRNA pathway	protein export from nucleus  (pubmed id: 12426392), regulation of protein export from nucleus  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), RNA nuclear export complex  (pubmed id: 21873635)	nuclear export signal receptor activity  (pubmed id: 21873635; 12426392), tRNA binding  (pubmed id: 12426392)	1723	1815	1788	epi	1723
Nifk	RNA-binding	RNA-binding (Cell 2012)	rRNA pathway	NA	cytoplasm  (pubmed id: 11342549), nucleolus  (pubmed id: 11342549)	RNA binding  (pubmed id: 11342549)	1725	3211	3143	epi	1725
Srrm1	Splicing	splicing	splicing	via spliceosome  (pubmed id: 9531537), via transesterification reactions  (pubmed id: 9531537)	nuclear matrix  (pubmed id: 9531537), spliceosomal complex  (pubmed id: 11555636)	RNA binding  (pubmed id: 9531537)	1737	2369	1950	epi	1737
Jmjd6	Enzyme, putative RNA-binding	methylase involved in splicing, not RNA-binding	putative RBP	apoptotic cell clearance  (pubmed id: 14715629; 15345036), blood vessel development  (pubmed id: 15615595), cell surface receptor signaling pathway  (pubmed id: 10811223), erythrocyte development  (pubmed id: 14715629), heart development  (pubmed id: 15615595), kidney development  (pubmed id: 15345036), lung development  (pubmed id: 14645847), macrophage activation  (pubmed id: 15345036), recognition of apoptotic cell  (pubmed id: 10811223; 14645847), retina development in camera-type eye  (pubmed id: 15345036), sprouting angiogenesis  (pubmed id: 21300889), T cell differentiation in thymus  (pubmed id: 14715629), via spliceosome  (pubmed id: 21300889)	cytosol  (pubmed id: 21060799), nucleoplasm  (pubmed id: 21060799), nucleus  (pubmed id: 14729065), plasma membrane  (pubmed id: 10811223), ribonucleoprotein complex  (pubmed id: 21060799)	identical protein binding  (pubmed id: 21060799), protein binding  (pubmed id: 21300889), protein homodimerization activity  (pubmed id: 21060799), RNA binding  (pubmed id: 21060799), signaling receptor activity  (pubmed id: 10811223)	1759	2945	3078	epi	1759
Qk	Splicing	splicing	splicing	3'-UTR-mediated mRNA destabilization  (pubmed id: 20631256), axon ensheathment  (pubmed id: 14169723), long-chain fatty acid biosynthetic process  (pubmed id: 1150661), muscle cell differentiation  (pubmed id: 14706070), myelination  (pubmed id: 1150661), positive regulation of gene expression  (pubmed id: 1373175), spermatid development  (pubmed id: 15148410), vasculogenesis  (pubmed id: 11892011)	cytoplasm  (pubmed id: 10506177; 11892011), nucleus  (pubmed id: 21873635; 10506177; 10506177; 11892011), synapse  (pubmed id: 16452087; 16452087)	mRNA binding  (pubmed id: 21873635; 20631256), RNA binding  (pubmed id: 21873635; 11892011)	1768	2262	1675	epi	1768
Rpl12	Ribosomal protein	ribosomal protein	ribosomal protein	ribosomal large subunit assembly  (pubmed id: 21873635), translation  (pubmed id: 21873635)	cytoplasm  (pubmed id: 11809816), cytosolic large ribosomal subunit  (pubmed id: 21873635), large ribosomal subunit  (pubmed id: 21873635), nucleolus  (pubmed id: 11809816), nucleus  (pubmed id: 11809816)	large ribosomal subunit rRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 11809816), rRNA binding  (pubmed id: 21873635), structural constituent of ribosome  (pubmed id: 21873635)	66	63	49	both	49
Eif5a	Translation	elongation factor of translation	translational regulation	positive regulation of apoptotic process  (pubmed id: 12894223), positive regulation of translational elongation  (pubmed id: 21873635)	cytoplasm  (pubmed id: 12894223), nucleus  (pubmed id: 12894223)	translation elongation factor activity  (pubmed id: 21873635)	69	42	50	both	50
Hnrnpk	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	positive regulation of transcription by RNA polymerase II  (pubmed id: 24530304), regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator  (pubmed id: 20673990), via spliceosome  (pubmed id: 23636947)	cytoplasmic stress granule  (pubmed id: 27430620)	protein binding  (pubmed id: 9185665), RNA binding  (pubmed id: 20548952)	50	112	72	both	72
Carhsp1	mRNA pathway	mRNA stabilization and translation	mRNA stability, translational regulation, Stress response	regulation of mRNA stability  (pubmed id: 21873635; 21078874)	cytoplasm  (pubmed id: 21873635), cytoplasmic exosome (RNase complex)  (pubmed id: 21078874), cytosol  (pubmed id: 21078874), P granule  (pubmed id: 21078874)	mRNA 3'-UTR binding  (pubmed id: 21873635), protein binding  (pubmed id: 11842224)	244	72	73	both	73
Serbp1	mRNA pathway	mRNA binding	mRNA stability	NA	NA	NA	151	130	116	both	116
Rpl7	Ribosomal protein	ribosomal protein	ribosomal protein	LSU-rRNA)  (pubmed id: 21873635), translation  (pubmed id: 2648130)	cytosolic large ribosomal subunit  (pubmed id: 21873635; 2648130), polysome  (pubmed id: 22022532), ribonucleoprotein complex  (pubmed id: 18809582), synapse  (pubmed id: 16452087; 16452087)	DNA binding  (pubmed id: 8441630), mRNA binding  (pubmed id: 8441630), protein homodimerization activity  (pubmed id: 8441630), structural constituent of ribosome  (pubmed id: 21873635; 2648130)	183	150	123	both	123
Eif4a1	Translation	initiation of translation	initiation of translation	NA	NA	double-stranded RNA binding  (pubmed id: 21266579), protein binding  (pubmed id: 16541103)	212	115	131	both	131
Hnrnpa2b1	mRNA pathway	Pre-mRNA processing and transport, binds 3'-UTR	Pre-mRNA transport	negative regulation of transcription by RNA polymerase II  (pubmed id: 23907535), via spliceosome  (pubmed id: 21873635; 18480465; 18480465)	nucleus  (pubmed id: 21873635; 17962088), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), mRNA binding  (pubmed id: 21873635), pre-mRNA intronic binding  (pubmed id: 18480465), RNA binding  (pubmed id: 21873635; 23907535)	109	175	133	both	133
Rps3	Ribosomal protein	ribosomal protein	ribosomal protein	DNA repair  (pubmed id: 21873635), positive regulation of apoptotic signaling pathway  (pubmed id: 21873635), positive regulation of DNA repair  (pubmed id: 21873635), positive regulation of NF-kappaB transcription factor activity  (pubmed id: 18045535), positive regulation of protein complex assembly  (pubmed id: 18045535)	cytoplasm  (pubmed id: 12388085), cytosolic small ribosomal subunit  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), synapse  (pubmed id: 16635246; 16635246)	damaged DNA binding  (pubmed id: 21873635), DNA-(apurinic or apyrimidinic site) endonuclease activity  (pubmed id: 21873635; 15707971), oxidized purine DNA binding  (pubmed id: 21873635), oxidized purine nucleobase lesion DNA N-glycosylase activity  (pubmed id: 21873635), protein binding  (pubmed id: 19129230), structural constituent of ribosome  (pubmed id: 21873635)	217	199	138	both	138
Pcbp1	mRNA pathway	mRNA stabilization and translation	mRNA stability, translational regulation	mRNA processing  (pubmed id: 10455157), positive regulation of transcription by RNA polymerase II  (pubmed id: 15836633)	cytoplasm  (pubmed id: 16979592), nucleus  (pubmed id: 15836633)	protein binding  (pubmed id: 15102471), RNA binding  (pubmed id: 10455157), RNA polymerase II-specific  (pubmed id: 15836633), sequence-specific single stranded DNA binding  (pubmed id: 15836633), single-stranded DNA binding  (pubmed id: 15836633), translation activator activity  (pubmed id: 10455157)	194	141	144	both	144
Rpl22	Ribosomal protein	ribosomal protein	ribosomal protein	alpha-beta T cell differentiation  (pubmed id: 17555992), modulating synaptic transmission  (pubmed id: 27321671; 27321671)	cytoplasm  (pubmed id: 8135813), cytosolic large ribosomal subunit  (pubmed id: 21873635), glutamatergic synapse  (pubmed id: 27321671; 27321671), presynapse  (pubmed id: 27321671; 27321671), ribonucleoprotein complex  (pubmed id: 18809582), ribosome  (pubmed id: 27321671; 27321671; 8135813)	heparin binding  (pubmed id: 8135813), RNA binding  (pubmed id: 21873635), translation regulator activity  (pubmed id: 27321671; 27321671)	188	159	157	both	157
Hnrnph1	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	cellular response to interleukin-7  (pubmed id: 29581031)	NA	protein binding  (pubmed id: 24910439)	118	217	159	both	159
Hnrnpab	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	DNA-templated  (pubmed id: 17273560), epithelial to mesenchymal transition  (pubmed id: 17273560), negative regulation of transcription by RNA polymerase II  (pubmed id: 23907535)	cytoplasm  (pubmed id: 17273560), nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 17273560), presynaptic cytosol  (pubmed id: 21471000), ribonucleoprotein complex  (pubmed id: 21873635), RNA polymerase II transcription factor complex  (pubmed id: 17273560)	DNA-binding transcription factor activity  (pubmed id: 17273560), protein binding  (pubmed id: 17273560), RNA binding  (pubmed id: 21873635; 23907535), sequence-specific DNA binding  (pubmed id: 21873635; 17273560), sequence-specific double-stranded DNA binding  (pubmed id: 21873635)	105	362	178	both	178
Tsn	Putative RNA-binding	no RNA-binding	putative RBP	NA	cytoplasm  (pubmed id: 21873635; 11278549; 12036294), nucleus  (pubmed id: 21873635; 11278549)	endoribonuclease activity  (pubmed id: 21873635), mRNA binding  (pubmed id: 15987823), protein binding  (pubmed id: 11278549), RNA binding  (pubmed id: 11278549), sequence-specific DNA binding  (pubmed id: 21873635), single-stranded DNA binding  (pubmed id: 21873635)	211	530	186	both	186
Ncl	mRNA pathway	binds 3'-UTR of mRNAs, synthesis and maturation of ribosomes	ribosomal protein	cellular response to epidermal growth factor stimulus  (pubmed id: 8702723), cellular response to leukemia inhibitory factor  (pubmed id: 20439489), positive regulation of transcription by RNA polymerase II  (pubmed id: 24530304)	nucleolus  (pubmed id: 21873635; 2100262), nucleoplasm  (pubmed id: 17971306), nucleus  (pubmed id: 21873635; 9102301), ribonucleoprotein complex  (pubmed id: 21873635; 18809582)	protein binding  (pubmed id: 10567518), RNA binding  (pubmed id: 21873635; 17971306)	158	271	206	both	206
Npm1	RNA-binding, chaperone	RNA-binding (Cell 2012), chaperone	enzyme, chaperone, rRNA pathway, splicing	cell volume homeostasis  (pubmed id: 18809582; 18809582), chromatin remodeling  (pubmed id: 21873635), negative regulation of apoptotic process  (pubmed id: 18625840), negative regulation of gene expression  (pubmed id: 18625840), nucleocytoplasmic transport  (pubmed id: 15485902), positive regulation of cell proliferation  (pubmed id: 18809582; 18809582), positive regulation of cellular biosynthetic process  (pubmed id: 18809582; 18809582), positive regulation of centrosome duplication  (pubmed id: 17015463), positive regulation of protein kinase activity  (pubmed id: 17015463), positive regulation of protein localization to nucleolus  (pubmed id: 18625840), positive regulation of protein ubiquitination  (pubmed id: 18625840), positive regulation of transcription by RNA polymerase II  (pubmed id: 21873635; 19160485), posttranscriptional regulation of gene expression  (pubmed id: 18625840), protein complex oligomerization  (pubmed id: 18809582), protein homooligomerization  (pubmed id: 24616519), protein localization  (pubmed id: 16199867), protein stabilization  (pubmed id: 18625840; 18625840), regulation of cell cycle  (pubmed id: 15485902), regulation of cell growth  (pubmed id: 18809582), regulation of centrosome duplication  (pubmed id: 21873635; 16007073), regulation of protein stability  (pubmed id: 18625840), ribosomal large subunit biogenesis  (pubmed id: 21873635; 18809582; 18809582), ribosomal large subunit export from nucleus  (pubmed id: 21873635; 18809582), ribosomal small subunit biogenesis  (pubmed id: 21873635; 18809582; 18809582), ribosomal small subunit export from nucleus  (pubmed id: 21873635; 18809582), rRNA export from nucleus  (pubmed id: 21873635; 18809582; 18809582), signal transduction by p53 class mediator  (pubmed id: 16199867), via spliceosome  (pubmed id: 16376875)	centrosome  (pubmed id: 21873635; 16297385), cytoplasm  (pubmed id: 21873635; 16648475), cytosol  (pubmed id: 18809582), granular component  (pubmed id: 15485902), large ribosomal subunit  (pubmed id: 18809582), nuclear speck  (pubmed id: 16376875), nucleolus  (pubmed id: 21873635; 2100262; 11420665), nucleoplasm  (pubmed id: 21873635; 12374805), nucleus  (pubmed id: 16648475), ribonucleoprotein complex  (pubmed id: 21873635; 18809582), small ribosomal subunit  (pubmed id: 18809582)	chromatin binding  (pubmed id: 21873635), histone binding  (pubmed id: 21873635), protein binding  (pubmed id: 9642267), protein N-terminus binding  (pubmed id: 24616519), ribosomal large subunit binding  (pubmed id: 18809582), ribosomal small subunit binding  (pubmed id: 18809582), RNA binding  (pubmed id: 21873635; 16376875), rRNA binding  (pubmed id: 15596447)	102	218	207	both	207
Rps9	RNA-binding, rRNA pathway	ribosomal protein, rRNA processing	rRNA pathway	positive regulation of translational fidelity  (pubmed id: 21873635)	cytosolic small ribosomal subunit  (pubmed id: 21873635), synapse  (pubmed id: 16452087; 16452087)	rRNA binding  (pubmed id: 21873635), structural constituent of ribosome  (pubmed id: 21873635)	487	299	229	both	229
Tardbp	mRNA pathway	mRNA stabilization and translation	mRNA stability, translational regulation	3'-UTR-mediated mRNA stabilization  (pubmed id: 21873635), positive regulation of protein import into nucleus  (pubmed id: 28585542), regulation of circadian rhythm  (pubmed id: 27123980), regulation of protein stability  (pubmed id: 27123980)	cytoplasm  (pubmed id: 21873635), nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635; 28585542), ribonucleoprotein complex  (pubmed id: 21873635)	double-stranded DNA binding  (pubmed id: 21873635), mRNA 3'-UTR binding  (pubmed id: 21873635), protein binding  (pubmed id: 22570411), RNA binding  (pubmed id: 21873635), RNA polymerase II-specific  (pubmed id: 18836447), sequence-specific double-stranded DNA binding  (pubmed id: 18836447), single-stranded RNA binding  (pubmed id: 21873635)	163	317	232	both	232
Rbm3	mRNA pathway, stress inducible	RNA processing, cold and hypoxia inducible	ncRNA pathway, translational regulation, Stress response, ribosomal protein	positive regulation of translation  (pubmed id: 21873635), production of miRNAs involved in gene silencing by miRNA  (pubmed id: 15684048), regulation of translation  (pubmed id: 21873635; 15684048), response to cold  (pubmed id: 21873635; 15684048), translation  (pubmed id: 15684048), via spliceosome  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635), large ribosomal subunit  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635), spliceosomal complex  (pubmed id: 21873635)	mRNA 3'-UTR binding  (pubmed id: 21873635), poly(U) RNA binding  (pubmed id: 21873635), ribosomal large subunit binding  (pubmed id: 21873635; 15684048), RNA binding  (pubmed id: 21873635), small ribosomal subunit rRNA binding  (pubmed id: 21873635), translation repressor activity  (pubmed id: 21873635)	91	390	234	both	234
Fus	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	NA	cytoplasm  (pubmed id: 12950080), nucleus  (pubmed id: 21873635; 12950080)	NA	285	342	243	both	243
Pcbp2	mRNA pathway	mRNA stabilization and translation	mRNA stability, translational regulation	NA	nucleus  (pubmed id: 8871564)	C-rich single-stranded DNA binding  (pubmed id: 8208614), DNA binding  (pubmed id: 8367306), protein binding  (pubmed id: 8871564)	278	429	258	both	258
Hnrnpd	mRNA pathway	Pre-mRNA processing and transport	Pre-mRNA transport	mRNA transcription by RNA polymerase II  (pubmed id: 22633954), positive regulation of gene expression  (pubmed id: 22633954), positive regulation of telomerase RNA reverse transcriptase activity  (pubmed id: 22633954), positive regulation of telomere capping  (pubmed id: 22633954), regulation of mRNA stability  (pubmed id: 14976220), regulation of telomere maintenance  (pubmed id: 22633954)	nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635), synapse  (pubmed id: 16452087; 16452087)	AT DNA binding  (pubmed id: 21873635), mRNA 3'-UTR AU-rich region binding  (pubmed id: 21873635), mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 12107167), RNA binding  (pubmed id: 21873635), sequence-specific DNA binding  (pubmed id: 21873635), sequence-specific double-stranded DNA binding  (pubmed id: 21873635)	135	455	262	both	262
Hnrnpu	mRNA pathway	binds 3'-UTR of mRNAs, hnRNA	mRNA stability, mRNA transport	adaptive thermogenesis  (pubmed id: 28784777), cardiac muscle cell development  (pubmed id: 26039991), cellular response to leukemia inhibitory factor  (pubmed id: 21235343), circadian regulation of gene expression  (pubmed id: 18332112), CRD-mediated mRNA stabilization  (pubmed id: 21873635), dendritic transport of messenger ribonucleoprotein complex  (pubmed id: 15312650; 15312650), dosage compensation by inactivation of X chromosome  (pubmed id: 20833368), negative regulation of stem cell differentiation  (pubmed id: 21235343), negative regulation of telomere maintenance via telomerase  (pubmed id: 21873635), negative regulation of transcription by RNA polymerase II  (pubmed id: 21873635), positive regulation of attachment of mitotic spindle microtubules to kinetochore  (pubmed id: 21873635), positive regulation of brown fat cell differentiation  (pubmed id: 28784777), positive regulation of stem cell proliferation  (pubmed id: 20833368), positive regulation of transcription by RNA polymerase II  (pubmed id: 21873635; 22162999; 21235343), regulation of chromatin organization  (pubmed id: 21873635), regulation of mitotic spindle assembly  (pubmed id: 21873635), RNA localization to chromatin  (pubmed id: 21873635; 20833368), via spliceosome  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), centrosome  (pubmed id: 21873635), CRD-mediated mRNA stability complex  (pubmed id: 21873635), cytoplasmic ribonucleoprotein granule  (pubmed id: 21873635), inactive sex chromosome  (pubmed id: 21873635; 20833368), kinetochore  (pubmed id: 21873635), mitotic spindle microtubule  (pubmed id: 21873635), mitotic spindle midzone  (pubmed id: 21873635), nuclear chromosome  (pubmed id: 21873635), nuclear matrix  (pubmed id: 21873635), nuclear speck  (pubmed id: 21873635), nucleoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 18332112), RNA polymerase II transcription factor complex  (pubmed id: 21873635), telomerase holoenzyme complex  (pubmed id: 21873635)	poly(C) RNA binding  (pubmed id: 21873635), poly(G) binding  (pubmed id: 21873635), pre-mRNA binding  (pubmed id: 21873635), promoter-specific chromatin binding  (pubmed id: 21873635; 21235343), protein binding  (pubmed id: 18495661), ribonucleoprotein complex binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635; 20833368), RNA polymerase II C-terminal domain binding  (pubmed id: 21873635; 21235343), RNA polymerase II proximal promoter sequence-specific DNA binding  (pubmed id: 21873635; 18332112), sequence-specific DNA binding  (pubmed id: 21235343), snRNA binding  (pubmed id: 21873635), TFIIH-class transcription factor complex binding  (pubmed id: 21873635), transcription corepressor activity  (pubmed id: 21873635)	181	397	275	both	275
Ybx1	RNA-binding	RNA-binding (Cell 2012), cold shock domain	mRNA stability, mRNA transport, Stress response, translational regulation, splicing	cellular response to interleukin-7  (pubmed id: 29581031), in utero embryonic development  (pubmed id: 16954378; 16954378), negative regulation of striated muscle cell differentiation  (pubmed id: 20004191), negative regulation of transcription by RNA polymerase II  (pubmed id: 20004191; 20004191)	cytoplasm  (pubmed id: 20004191), histone pre-mRNA 3'end processing complex  (pubmed id: 19470752), nucleus  (pubmed id: 20004191)	chromatin binding  (pubmed id: 24788519), protein binding  (pubmed id: 8871564), single-stranded DNA binding  (pubmed id: 15282343)	213	241	292	both	292
Lsm3	Splicing	U4/U6 snRNP	splicing	cytoplasmic mRNA processing body assembly  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), Lsm1-7-Pat1 complex  (pubmed id: 21873635), P-body  (pubmed id: 21873635), U4/U6 x U5 tri-snRNP complex  (pubmed id: 21873635), U6 snRNP  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635)	689	544	293	both	293
Eif4h	Translation	elongation factor of translation	translational regulation	cytoplasmic translation  (pubmed id: 21873635), developmental growth  (pubmed id: 22234171), eukaryotic translation initiation factor 4F complex assembly  (pubmed id: 21873635), formation of translation preinitiation complex  (pubmed id: 21873635), sexual reproduction  (pubmed id: 22234171)	polysome  (pubmed id: 21873635)	ribosomal small subunit binding  (pubmed id: 21873635), RNA strand annealing activity  (pubmed id: 21873635), RNA strand-exchange activity  (pubmed id: 21873635), translation initiation factor activity  (pubmed id: 21873635)	657	380	300	both	300
Srsf1	mRNA pathway, splicing	splicing and mRNA binding	splicing	cardiac muscle contraction  (pubmed id: 15652482), in utero embryonic development  (pubmed id: 15652482), RNA splicing  (pubmed id: 15798186; 15652482), via spliceosome  (pubmed id: 21873635; 21873635)	nuclear speck  (pubmed id: 21873635; 20729808), nucleus  (pubmed id: 21873635; 15615787; 21984414)	mRNA binding  (pubmed id: 21984414), protein binding  (pubmed id: 20477871), RNA binding  (pubmed id: 21873635), RS domain binding  (pubmed id: 15798186)	168	651	311	both	311
Apex1	mRNA pathway	mRNA-binding (Mol Cell 2012)	Stress response	base-excision repair  (pubmed id: 21873635), cell redox homeostasis  (pubmed id: 14594818)	cytoplasm  (pubmed id: 14594818), nucleus  (pubmed id: 21873635; 14594818)	DNA-(apurinic or apyrimidinic site) endonuclease activity  (pubmed id: 21873635), double-stranded DNA 3'-5' exodeoxyribonuclease activity  (pubmed id: 21873635), phosphodiesterase I activity  (pubmed id: 21873635)	202	481	334	both	334
Srsf7	mRNA pathway, splicing	splicing and mRNA export	splicing, mRNA transport	cellular response to leukemia inhibitory factor  (pubmed id: 20439489), via spliceosome  (pubmed id: 21873635; 21873635)	nuclear speck  (pubmed id: 21873635), nucleus  (pubmed id: 21873635)	protein binding  (pubmed id: 8871564), RNA binding  (pubmed id: 21873635)	198	511	336	both	336
Pabpc1	mRNA pathway	mRNA decay	mRNA degradation	deadenylation-dependent decay  (pubmed id: 19716330), gene silencing by RNA  (pubmed id: 19716330), positive regulation of nuclear-transcribed mRNA poly(A) tail shortening  (pubmed id: 19716330)	cytoplasm  (pubmed id: 21873635; 18625844), cytoplasmic stress granule  (pubmed id: 21873635), cytosol  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635), synapse  (pubmed id: 16452087; 16452087)	mRNA 3'-UTR binding  (pubmed id: 21873635), poly(A) binding  (pubmed id: 21873635; 16804161), poly(U) RNA binding  (pubmed id: 21873635; 21984414), protein binding  (pubmed id: 17927953), RNA binding  (pubmed id: 21873635)	590	251	337	both	337
Ptbp1	mRNA pathway, splicing	splicing, mRNA binding (Cell 2012)	splicing	negative regulation of neuron differentiation  (pubmed id: 17679093), positive regulation of transcription by RNA polymerase II  (pubmed id: 24530304), via spliceosome  (pubmed id: 17679093; 23636947)	nucleus  (pubmed id: 10716735)	protein binding  (pubmed id: 16051233)	136	581	344	both	344
G3bp1	RNA-binding	RNA-binding (Cell 2012), stress granules, ATP-dependent	Stress response	negative regulation of canonical Wnt signaling pathway  (pubmed id: 21652632)	cytoplasmic stress granule  (pubmed id: 18625844), cytosol  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635; 21652632), protein binding  (pubmed id: 21652632)	557	305	347	both	347
Rtraf	RNA-binding	RNA transport, multiprotein complex	mRNA transport	NA	NA	NA	565	506	354	both	354
Rps4x	Ribosomal protein	ribosomal protein	ribosomal protein	translation  (pubmed id: 21873635)	cytosolic small ribosomal subunit  (pubmed id: 21873635), small ribosomal subunit  (pubmed id: 8139551), synapse  (pubmed id: 16635246; 16635246)	structural constituent of ribosome  (pubmed id: 21873635)	438	424	355	both	355
Eif2s1	Translation	initiation of translation	translational regulation	cellular response to amino acid starvation  (pubmed id: 11106749), cellular response to oxidative stress  (pubmed id: 27430620), cellular response to UV  (pubmed id: 12176355), negative regulation of translational initiation in response to stress  (pubmed id: 12176355), protein autophosphorylation  (pubmed id: 19139267), regulation of translational initiation in response to stress  (pubmed id: 15937339), response to endoplasmic reticulum stress  (pubmed id: 11106749), stress granule assembly  (pubmed id: 27430620), translation  (pubmed id: 10882126)	cytoplasm  (pubmed id: 12388085), cytoplasmic stress granule  (pubmed id: 19861488), eukaryotic 48S preinitiation complex  (pubmed id: 21873635), eukaryotic translation initiation factor 2 complex  (pubmed id: 21873635), eukaryotic translation initiation factor 2B complex  (pubmed id: 21873635), multi-eIF complex  (pubmed id: 21873635), nucleus  (pubmed id: 12388085), synapse  (pubmed id: 16452087; 16452087)	protein binding  (pubmed id: 15544353), ribosome binding  (pubmed id: 21873635), translation initiation factor activity  (pubmed id: 21873635)	667	356	367	both	367
Syncrip	mRNA pathway, splicing	splicing, polyadenylation, mRNA transport	splicing, mRNA stability, mRNA transport	CRD-mediated mRNA stabilization  (pubmed id: 21873635)	CRD-mediated mRNA stability complex  (pubmed id: 21873635), cytoplasm  (pubmed id: 10734137), histone pre-mRNA 3'end processing complex  (pubmed id: 19470752), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA 5'-UTR binding  (pubmed id: 21873635), mRNA binding  (pubmed id: 21873635), poly(A) binding  (pubmed id: 10734137), RNA binding  (pubmed id: 21873635)	243	448	375	both	375
Eif4e	Translation	initiation of translation	translational regulation	behavioral fear response  (pubmed id: 24990923), cellular response to dexamethasone stimulus  (pubmed id: 17556672), modulating synaptic transmission  (pubmed id: 23263185; 23263185), negative regulation of neuron differentiation  (pubmed id: 25456498), negative regulation of translation  (pubmed id: 25456498), stem cell population maintenance  (pubmed id: 25456498; 25456498)	chromatoid body  (pubmed id: 22792342), cytoplasm  (pubmed id: 12388085), eukaryotic translation initiation factor 4F complex  (pubmed id: 21873635), glutamatergic synapse  (pubmed id: 23263185; 23263185), mRNA cap binding complex  (pubmed id: 18805096)	protein binding  (pubmed id: 11500381), RNA 7-methylguanosine cap binding  (pubmed id: 21873635), translation initiation factor activity  (pubmed id: 21873635; 16289705), translation regulator activity  (pubmed id: 23263185; 23263185)	721	351	380	both	380
Ddx39b	mRNA pathway, splicing, enzyme	splicing and mRNA export, ATP helicase	splicing, enzyme, mRNA transport	NA	nuclear speck  (pubmed id: 25145264)	NA	216	546	387	both	387
Eif3b	Translation	initiation of translation	translational regulation	translational initiation  (pubmed id: 21873635; 17581632)	eIF3m  (pubmed id: 24003236), eukaryotic translation initiation factor 3 complex  (pubmed id: 21873635; 17581632), synapse  (pubmed id: 16452087; 16452087)	protein binding  (pubmed id: 16541103), translation initiation factor activity  (pubmed id: 21873635; 17581632)	639	386	390	both	390
Hnrnpa1	mRNA pathway	mRNA processing and transport	mRNA transport, splicing	RNA splicing  (pubmed id: 15798186), via spliceosome  (pubmed id: 15798186)	nucleoplasm  (pubmed id: 21984414), nucleus  (pubmed id: 21873635; 15615787), ribonucleoprotein complex  (pubmed id: 21873635; 18809582)	mRNA binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635)	190	521	400	both	400
Srsf10	Splicing	splicing	splicing	cytosolic transport  (pubmed id: 11684676), DNA-templated  (pubmed id: 9774382), mRNA 5'-splice site recognition  (pubmed id: 21873635), mRNA splice site selection  (pubmed id: 9774382), via spliceosome  (pubmed id: 21873635; 21873635; 11684676), via transesterification reactions  (pubmed id: 9774382)	nuclear speck  (pubmed id: 21873635), nucleoplasm  (pubmed id: 11684676), nucleus  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635; 9774382), unfolded protein binding  (pubmed id: 11684676)	321	909	402	both	402
Ddx3x	mRNA pathway, splicing, enzyme	splicing and mRNA export, translation, ATP-dependent	splicing, mRNA transport, translational regulation	NA	NA	protein binding  (pubmed id: 18583960)	325	476	416	both	416
